Rotation,Split,Accuracy
1,30,97.29448491155047
2,30,97.29448491155047
3,30,99.06347554630594
4,30,98.23100936524453
5,30,97.39854318418314
1,40,98.90776699029125
2,40,96.96601941747572
3,40,98.7864077669903
4,40,98.30097087378641
5,40,98.17961165048543
1,50,97.81341107871721
2,50,98.25072886297376
3,50,98.54227405247813
4,50,97.52186588921283
5,50,97.667638483965
1,60,97.99635701275045
2,60,98.36065573770492
3,60,97.26775956284153
4,60,98.1785063752277
5,60,98.36065573770492
1,70,99.51456310679612
2,70,98.54368932038835
3,70,98.30097087378641
4,70,98.7864077669903
5,70,98.54368932038835
